K,C,1,1,-273.15
C,F,9,5,32.0
K,F,9,5,-459.67
mbar,psi,0.014504,1,0
Pa,psi,1.450377,1,0
m,mi,1,1609.344,0
m,km,1,1000,0
m/s,mph,3600,1609.344,0
mm/s,in/hr,3600,25.4,0
mm/s,mm/hr,3600,1,0
mm/hr,in/hr,1,25.4,0
ft,m,0.3048,1,0
mm,in,1,25.4,0
mm,cm,1,10,0
mph,kph,1.609344,1,0
ft,in,12,1,0
dm/s,mph,3600,16093.44,0
m/s,dm/s,10,1,0
ft,dm,3.048,1,0
